"job_id","job_title","salary_year_avg","company_name","job_location","skills"
621014,"Senior Data Analyst","175000.0","Serco","Rock Island, IL","sql"
621014,"Senior Data Analyst","175000.0","Serco","Rock Island, IL","r"
962730,"Senior Data Analyst","170000.0","Motion Recruitment","Chicago, IL","sql"
962730,"Senior Data Analyst","170000.0","Motion Recruitment","Chicago, IL","python"
962730,"Senior Data Analyst","170000.0","Motion Recruitment","Chicago, IL","java"
962730,"Senior Data Analyst","170000.0","Motion Recruitment","Chicago, IL","azure"
759051,"Senior Cost Data Analyst","162500.0","Selby Jennings","Chicago, IL","go"
1464717,"Senior Data Analyst","160000.0","High Bridge Consulting","Chicago, IL","sql"
1464717,"Senior Data Analyst","160000.0","High Bridge Consulting","Chicago, IL","python"
1464717,"Senior Data Analyst","160000.0","High Bridge Consulting","Chicago, IL","azure"
1464717,"Senior Data Analyst","160000.0","High Bridge Consulting","Chicago, IL","jira"
283897,"Investment Services - Sr Digital Data Analyst - Multiple Locations...","150540.0","U.S. Bank","Chicago, IL","excel"
283897,"Investment Services - Sr Digital Data Analyst - Multiple Locations...","150540.0","U.S. Bank","Chicago, IL","tableau"
622967,"Principal Business Data Analyst - IHM","150000.0","Discover Financial Services","Deerfield, IL","sql"
622967,"Principal Business Data Analyst - IHM","150000.0","Discover Financial Services","Deerfield, IL","python"
622967,"Principal Business Data Analyst - IHM","150000.0","Discover Financial Services","Deerfield, IL","sql server"
622967,"Principal Business Data Analyst - IHM","150000.0","Discover Financial Services","Deerfield, IL","aws"
622967,"Principal Business Data Analyst - IHM","150000.0","Discover Financial Services","Deerfield, IL","oracle"
622967,"Principal Business Data Analyst - IHM","150000.0","Discover Financial Services","Deerfield, IL","unix"
622967,"Principal Business Data Analyst - IHM","150000.0","Discover Financial Services","Deerfield, IL","tableau"
622967,"Principal Business Data Analyst - IHM","150000.0","Discover Financial Services","Deerfield, IL","visio"
622967,"Principal Business Data Analyst - IHM","150000.0","Discover Financial Services","Deerfield, IL","flow"
374138,"Staff, Data Analyst - Data as a Service","150000.0","Provi","Chicago, IL","sql"
374138,"Staff, Data Analyst - Data as a Service","150000.0","Provi","Chicago, IL","python"
374138,"Staff, Data Analyst - Data as a Service","150000.0","Provi","Chicago, IL","scala"
374138,"Staff, Data Analyst - Data as a Service","150000.0","Provi","Chicago, IL","r"
374138,"Staff, Data Analyst - Data as a Service","150000.0","Provi","Chicago, IL","snowflake"
374138,"Staff, Data Analyst - Data as a Service","150000.0","Provi","Chicago, IL","tableau"
